datatime,open,high,low,close,volume
1538691000,1.15135,1.15135,1.15134,1.15135,6
1538691240,1.15134,1.15134,1.15134,1.15134,1
1538691300,1.15133,1.15134,1.15132,1.15132,13
1538691300,1.15133,1.15134,1.15132,1.15133,14
1538691360,1.15132,1.15132,1.15132,1.15132,1
1538691360,1.15132,1.15133,1.15132,1.15133,2
1538691360,1.15132,1.15133,1.15132,1.15132,3
1538691360,1.15132,1.15133,1.15132,1.15133,4
1538691360,1.15132,1.15135,1.15132,1.15135,5
1538691360,1.15132,1.15135,1.15132,1.15134,6
1538691360,1.15132,1.15135,1.15132,1.15134,7
1538691360,1.15132,1.15135,1.15132,1.15134,8
1538691360,1.15132,1.15135,1.15132,1.15134,9
1538691360,1.15132,1.15135,1.15132,1.15133,10
1538691360,1.15132,1.15135,1.15132,1.15134,11
1538691360,1.15132,1.15135,1.15132,1.15133,12
1538691360,1.15132,1.15135,1.15132,1.15134,13
1538691360,1.15132,1.15135,1.15132,1.15132,14
1538691360,1.15132,1.15135,1.15132,1.15132,15
1538691420,1.15131,1.15131,1.15131,1.15131,1
1538691420,1.15131,1.15131,1.15131,1.15131,2
1538691420,1.15131,1.15131,1.15129,1.15129,3
1538691480,1.15127,1.15127,1.15127,1.15127,1
1538691480,1.15127,1.15128,1.15127,1.15128,2
1538691480,1.15127,1.15129,1.15127,1.15129,3
1538691480,1.15127,1.15129,1.15127,1.15128,4
1538691480,1.15127,1.15129,1.15122,1.15122,5
1538691480,1.15127,1.15129,1.15119,1.15119,6
1538691480,1.15127,1.15129,1.15119,1.15119,7
1538691480,1.15127,1.15129,1.15119,1.15125,8
1538691480,1.15127,1.15129,1.15119,1.15126,9
1538691480,1.15127,1.15129,1.15119,1.15126,10
1538691480,1.15127,1.15129,1.15119,1.15126,11
1538691480,1.15127,1.15129,1.15119,1.15121,12
1538691480,1.15127,1.15129,1.15119,1.15119,13
1538691540,1.15118,1.15118,1.15118,1.15118,1
1538691540,1.15118,1.15118,1.15118,1.15118,2
1538691540,1.15118,1.15118,1.15117,1.15117,3
1538691540,1.15118,1.15118,1.15116,1.15116,4
1538691540,1.15118,1.15118,1.15115,1.15115,5
1538691540,1.15118,1.15118,1.15115,1.15117,6
1538691540,1.15118,1.15118,1.15115,1.15117,7
1538691540,1.15118,1.15118,1.15115,1.15117,8
1538691540,1.15118,1.15118,1.15115,1.15115,9
1538691600,1.15118,1.15118,1.15118,1.15118,1
1538691600,1.15118,1.15118,1.15117,1.15117,2
1538691600,1.15118,1.15118,1.15117,1.15118,3
1538691600,1.15118,1.15118,1.15117,1.15117,4
1538691600,1.15118,1.15118,1.15115,1.15115,5
1538691600,1.15118,1.15118,1.15115,1.15115,6
1538691600,1.15118,1.15118,1.15115,1.15116,7
1538691600,1.15118,1.15118,1.15115,1.15116,8
1538691600,1.15118,1.15118,1.15115,1.15116,9
1538691600,1.15118,1.15118,1.15115,1.15116,10
1538691600,1.15118,1.15118,1.15115,1.15116,11
1538691600,1.15118,1.15118,1.15115,1.15115,12
1538691600,1.15118,1.15118,1.15115,1.15115,13
1538691600,1.15118,1.15118,1.15115,1.15115,14
1538691600,1.15118,1.15118,1.15115,1.15115,15
1538691600,1.15118,1.15118,1.15115,1.15115,16
1538691600,1.15118,1.15118,1.15115,1.15117,17
1538691600,1.15118,1.15118,1.15115,1.15116,18
1538691600,1.15118,1.15118,1.15115,1.15115,19
1538691600,1.15118,1.15118,1.15115,1.15116,20
1538691600,1.15118,1.15118,1.15115,1.15117,21
1538691600,1.15118,1.15118,1.15115,1.15118,22
1538691600,1.15118,1.15118,1.15115,1.15117,23
